source_file,case_name,court,year,courtlistener_cluster_id,courtlistener_url,database_sources,source_text_status,sha256_lf
025 - Arrington v MZ 2640 OWNER LLP,Arrington v. MZ 2640 OWNER LLP,S.D.N.Y.,2024,,,3604; claims; csv,on file with author,d1771333a58432ae8bce4ca9e39a75e30f035e0152f861e6a702cb1a3d4aa8ed
025 - MATTER OF HART v New York City Hous Auth 2,Matter of Hart v. New York City Hous. Auth.,"N.Y. App. Div., 2d Dep't",2024,9884278,https://www.courtlistener.com/api/rest/v4/clusters/9884278/,3604; claims; dates_resolved,,
025 - MATTER OF HART v New York City Housing Authority,Matter of Hart v New York City Housing Authority,"N.Y. App. Div., 2d Dep't",2024,9884278,https://www.courtlistener.com/api/rest/v4/clusters/9884278/,3604; claims; dates_resolved,,
025 - United States v FOX RUN APARTMENTS LLC,"United States v. Fox Run Apartments, LLC",D. Kan.,2024,,,3604; claims; csv,,
025 - Williams v BINGHAMTON CITY POLICE,,,,,,3604; claims,,
025 - Williams v BINGHAMTON UHS,,,,,,3604; claims,,
034 - CLOVER COMMUNITIES BEAVERCREEK LLC v MUSSACHIO ARCHITECTS PC,"CLOVER COMMUNITIES BEAVERCREEK, LLC v. MUSSACHIO ARCHITECTS PC",N.D.N.Y.,2024,,,3604; claims; csv; phase2_extraction; dates_resolved,,
034 - Collins v TEAM MANAGEMENT LLC,Collins v. TEAM MANAGEMENT LLC,E.D. Wis.,2025,,,3604; claims; csv; phase2_extraction,,
10000566_2024_Robinson v. District of Columbia_dcd,Robinson v. District of Columbia,D.D.C.,2024,9533953,https://www.courtlistener.com/api/rest/v4/clusters/9533953/,3604; claims; csv; iqbal,on file with author,2f00fe16d20a55aad5f20adc915b16dadd87b33bc55dc6c61c3307085b7f536d
10005587_2024_Allentown Victory Church v. City of Allentown_ca3,Allentown Victory Church v. City of Allentown,3d Cir.,2024,10005587,https://www.courtlistener.com/api/rest/v4/clusters/10005587/,RA; 3604; claims; csv,,
10006353_2024_David Q. Webb v. Miami-Dade County Government_ca11,David Q. Webb v. Miami-Dade County Government,11th Cir.,2024,10006353,https://www.courtlistener.com/api/rest/v4/clusters/10006353/,RA; claims; csv,on file with author,4c16d49015b3de7d8dfc89688c727093653de772b6f3b75d850dc5f4d970e033
10006778_2024_Celia Litman v. Jennifer Guckin_ca3,Celia Litman; et al. v. Jennifer Guckin; Township of Towamencin,3d Cir.,2024,10006778,https://www.courtlistener.com/api/rest/v4/clusters/10006778/,RA; claims; csv,,
10034090_2024_Jeremy Morris v. West Hayden Estates First Add._ca9,"Jeremy Ray Morris; Kristy Morris v. West Hayden Estates First Addition Homeowners Association, Inc.",9th Cir.,2024,10034090,https://www.courtlistener.com/api/rest/v4/clusters/10034090/,3604; claims; csv; dates_resolved,,
"10038254_2024_Gilead Community Services, Inc. v. Town of Cromwell_ca2","Gilead Community Services, Inc. v. Town of Cromwell",Second Circuit,2024,10038254,https://www.courtlistener.com/api/rest/v4/clusters/10038254/,RA; 3604; claims; csv,,
"10046364_2024_Thomas Merck v. Walmart, Inc._ca6","Merck v. Walmart, Inc.",Sixth Circuit,2024,10046364,https://www.courtlistener.com/api/rest/v4/clusters/10046364/,RA; claims; csv; phase1_patch,,
10047397_2024_Jeffrey Cogan v. Arnaldo Trabucco_ca9,,,,10047397,https://www.courtlistener.com/api/rest/v4/clusters/10047397/,RA; claims; csv,,
10082236_2024_Joshua Debity v. Vintage Village Homeowners Ass'n_ca6,"Joshua A. Debity, et al. v. Vintage Village Homeowners Association",6th Cir.,2024,10082236,https://www.courtlistener.com/api/rest/v4/clusters/10082236/,RA; 3604; claims; csv,,
10089373_2024_Katalin Bloodgood-Loper v. Lenard Loper_ca9,"Katalin Bloodgood-Loper v. Lenard Loper; LVL Investments, LLC; Michelle L. Mercer",9th Cir.,2024,10089373,https://www.courtlistener.com/api/rest/v4/clusters/10089373/,RA; 3604; claims; csv,,
"10098080_2024_Neway Mengistu v. Forestview Apartments, LLC_ca9","Neway Mengistu v. Forestview Apartments, LLC",9th Cir.,2024,10098080,https://www.courtlistener.com/api/rest/v4/clusters/10098080/,RA; 3604; claims; csv,,
10099647_2024_Earlando Samuel v. Delaware County Housing Authority_ca3,Earlando Samuel v. Delaware County Housing Authority,Third Circuit,2024,10099647,https://www.courtlistener.com/api/rest/v4/clusters/10099647/,RA; claims; csv,,
"10105570_2024_Adam U. Steines v. Westgate Palace, L.L.C._ca11","Adam U. Steines v. Westgate Palace, L.L.C.",11th Cir.,2024,10105570,https://www.courtlistener.com/api/rest/v4/clusters/10105570/,RA; claims; csv; phase1_patch,,
10113641_2024_Seals v. Itex Group_ca5,"J.W. Seals, Jr.; Vergie Seals; Marie L. Pace v. Itex Group L.L.C.",5th Cir.,2024,10113641,https://www.courtlistener.com/api/rest/v4/clusters/10113641/,RA; claims; csv,,
10122741_2024_Arizona Alliance for Retired Americans v. Kristin K. Mayes_ca9,,,,10122741,https://www.courtlistener.com/api/rest/v4/clusters/10122741/,RA; claims; csv,,
"10143415_2024_New Heights Farm I, LLC v. Great Am. Ins. Co._ca6",,,,10143415,https://www.courtlistener.com/api/rest/v4/clusters/10143415/,RA; claims; csv,,
10161706_2024_In re_ Nyah Sekel_ca4,In re: Nyah Sekel,4th Cir.,2024,10161706,https://www.courtlistener.com/api/rest/v4/clusters/10161706/,RA; claims; csv,,
"10164483_2022_Equal Employment Opportunity Commission v. Dolgencorp, LLC_alnd",,,,10164483,https://www.courtlistener.com/api/rest/v4/clusters/10164483/,RA; claims; csv,,
10164688_2024_Dunn v. Manuel_alnd,"Nora Dunn v. Carter Manuel, et al.",N.D. Ala.,2024,10164688,https://www.courtlistener.com/api/rest/v4/clusters/10164688/,RA; 3604; claims; csv,on file with author,8e76af71e0134aa5645cdc6e6b8c233cb7beb06c3a218f11c73deb48712fb422
10164858_2021_Miller v. Coastline Management_alsd,Miller v. Coastline Management,S.D. Ala.,2021,10164858,https://www.courtlistener.com/api/rest/v4/clusters/10164858/,RA; claims; csv,on file with author,cbd0b2d8400778ce0089d412c0864607c64599e48f0320a1a857bb1797c14b02
