table,row_type,publication_date,document_number,notice_type,title,agency,comments_due,concluded,oira_action,respondents,responses_per_respondent,hours_per_response,total_annual_burden_hours,hourly_cost,annual_cost,url,notes
A,fr_notice,2003-06-13,03-14899,60-day,"Notice of Proposed Information Collection: Comment Request Standardized Form for Collecting Information Regarding Race and Ethnic Data",HUD-OCIO,2003-08-12,,,,,,,,,https://www.federalregister.gov/documents/2003/06/13/03-14899,
A,fr_notice,2003-09-09,03-22841,30-day,"Notice of Submission of Proposed Information Collection to OMB: Standardized Form for Race and Ethnic Data Collection",HUD-OCIO,2003-10-09,,,,,,,,,https://www.federalregister.gov/documents/2003/09/09/03-22841,
A,fr_notice,2006-07-12,E6-10946,60-day,"Standardized Form for Collecting Information Regarding Race and Ethnic Data",HUD,2006-09-11,,,,,,,,,https://www.federalregister.gov/documents/2006/07/12/E6-10946,
A,fr_notice,2006-09-18,E6-15387,30-day,"Standardized Form for Race and Ethnic Data Collection",HUD,2006-10-18,,,,,,,,,https://www.federalregister.gov/documents/2006/09/18/E6-15387,
A,fr_notice,2009-07-29,E9-18090,60-day,"Standardized Form for Collecting Information Regarding Race and Ethnic Data",HUD,2009-09-28,,,,,,,,,https://www.federalregister.gov/documents/2009/07/29/E9-18090,
A,fr_notice,2009-11-13,E9-27225,30-day,"Standardized Form for Race and Ethnic Data Collection",HUD,2009-12-14,,,,,,,,,https://www.federalregister.gov/documents/2009/11/13/E9-27225,
A,fr_notice,2013-04-10,2013-08269,60-day,"Standardized Form for Collecting Information Regarding Race and Ethnic Data",HUD,2013-06-10,,,,,,,,,https://www.federalregister.gov/documents/2013/04/10/2013-08269,
A,fr_notice,2013-06-18,2013-14506,30-day,"30-Day Notice of Proposed Information Collection: Standardized Form for Collecting Information Regarding Race and Ethnic Data",HUD,2013-07-18,,,,,,,,,https://www.federalregister.gov/documents/2013/06/18/2013-14506,
A,fr_notice,2014-12-02,2014-28358,60-day,"60-Day Notice of Submission of Proposed Information Collection to OMB; Standardized Form for Collecting Information Regarding Race and Ethnic Data",HUD-OSPM,2015-02-02,,,,,,,,,https://www.federalregister.gov/documents/2014/12/02/2014-28358,
A,fr_notice,2015-03-18,2015-06199,30-day,"30-Day Notice of Proposed Information Collection: Standardized Form for Collecting Information Regarding Race and Ethnic Data",HUD,2015-04-17,,,,,,,,,https://www.federalregister.gov/documents/2015/03/18/2015-06199,
A,fr_notice,2017-12-20,2017-27327,60-day-bundled,"60-Day Notice of Proposed Information Collection: Consolidated Discretionary Grant Programs Solicitations Templates and Forms",HUD,2018-02-20,,,,,,,,,https://www.federalregister.gov/documents/2017/12/20/2017-27327,"Bundled discretionary-grants notice; 2535-0113 referenced among many collections"
A,fr_notice,2018-12-04,2018-26338,60-day,"60-Day Notice of Proposed Information Collection: Race and Ethnic Data Collection",HUD-OSPM,2019-02-04,,,,,,,,,https://www.federalregister.gov/documents/2018/12/04/2018-26338,
A,fr_notice,2019-04-26,2019-08459,30-day,"30-Day Notice of Proposed Information Collection: Race and Ethnic Data Collection",HUD,2019-05-28,,,,,,,,,https://www.federalregister.gov/documents/2019/04/26/2019-08459,
A,fr_notice,2022-09-27,2022-20868,60-day,"60 Day Notice of Proposed Information Collection: Standardization Form for Race and Other Demographic Data Reporting Form — HUD 27061",HUD-OSPM,2022-11-28,,,14375,1.2,0.50,8625,65.15,561918.75,https://www.federalregister.gov/documents/2022/09/27/2022-20868,"EXPANSION PROPOSED: references 24 CFR 121 and Fair Housing Act"
A,fr_notice,2023-01-27,2023-01699,30-day,"30-Day Notice of Proposed Information Collection: Race and Ethnic Collection",HUD-PDR-CDO,2023-02-27,,,14375,1.2,0.50,8625,45.43,391833.75,https://www.federalregister.gov/documents/2023/01/27/2023-01699,"REVERSION: title reverts; no mention of 24 CFR 121 or Fair Housing Act"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 200302-2535-001",,,2003-02-21,approved_without_change,1,1,1,1,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=200302-2535-001,"Initial collection; no documents attached on RegInfo"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 200308-2535-001",,,2003-10-17,approved_with_change,1,1,1,1,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=200308-2535-001,"No documents attached on RegInfo"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 200609-2535-001",,,2006-11-21,approved_without_change,1,"1-4",1,4,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=200609-2535-001,"First cycle with attached Supporting Statement (OMB 83-I form)"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 200911-2535-002",,,2010-02-03,not_subject_to_PRA,,,,,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=200911-2535-002,"OIRA determined collection not subject to PRA"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 201004-2535-001",,,2010-06-14,approved_without_change,4100000,1,1,4100000,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201004-2535-001,"Respondent count recast: previously all respondents treated as one"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 201306-2535-001",,,2014-01-02,approved_without_change,4100000,"annual/occasional",1,4100000,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201306-2535-001,"Extension without change"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 201412-2535-001",,,2015-06-23,improperly_submitted,,,,,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201412-2535-001,"OIRA: HUD given 1 year to evaluate burden accuracy"
B,icr_cycle,,,,"Standardized Form for Race and Ethnic Data Collection — cycle 201507-2535-001",,,2015-09-01,approved_without_change,4100000,1,1,4100000,,,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201507-2535-001,"Reinstatement without change"
