cohort,period,representation,n_decided,claim_gate
DIS,P1,pro_se,207,APPENDIX-READY
DIS,P1,represented,176,APPENDIX-READY
DIS,P1,all,383,APPENDIX-READY
DIS,P2,pro_se,61,APPENDIX-READY
DIS,P2,represented,40,APPENDIX-READY
DIS,P2,all,101,APPENDIX-READY
DIS,P3,pro_se,233,APPENDIX-READY
DIS,P3,represented,81,APPENDIX-READY
DIS,P3,all,314,APPENDIX-READY
DIS_ANY_SENSITIVITY,P1,pro_se,286,APPENDIX-READY
DIS_ANY_SENSITIVITY,P1,represented,190,APPENDIX-READY
DIS_ANY_SENSITIVITY,P1,all,476,APPENDIX-READY
DIS_ANY_SENSITIVITY,P2,pro_se,78,APPENDIX-READY
DIS_ANY_SENSITIVITY,P2,represented,42,APPENDIX-READY
DIS_ANY_SENSITIVITY,P2,all,120,APPENDIX-READY
DIS_ANY_SENSITIVITY,P3,pro_se,311,APPENDIX-READY
DIS_ANY_SENSITIVITY,P3,represented,88,APPENDIX-READY
DIS_ANY_SENSITIVITY,P3,all,399,APPENDIX-READY
RACE-DT,P1,pro_se,96,APPENDIX-READY
RACE-DT,P1,represented,42,APPENDIX-READY
RACE-DT,P1,all,138,APPENDIX-READY
RACE-DT,P2,pro_se,27,APPENDIX-READY
RACE-DT,P2,represented,10,APPENDIX-READY
RACE-DT,P2,all,37,APPENDIX-READY
RACE-DT,P3,pro_se,52,APPENDIX-READY
RACE-DT,P3,represented,19,APPENDIX-READY
RACE-DT,P3,all,71,APPENDIX-READY
RACE-ALL,P1,pro_se,103,APPENDIX-READY
RACE-ALL,P1,represented,82,APPENDIX-READY
RACE-ALL,P1,all,185,APPENDIX-READY
RACE-ALL,P2,pro_se,30,APPENDIX-READY
RACE-ALL,P2,represented,16,APPENDIX-READY
RACE-ALL,P2,all,46,APPENDIX-READY
RACE-ALL,P3,pro_se,61,APPENDIX-READY
RACE-ALL,P3,represented,33,APPENDIX-READY
RACE-ALL,P3,all,94,APPENDIX-READY
NONDIS,P1,pro_se,194,APPENDIX-READY
NONDIS,P1,represented,131,APPENDIX-READY
NONDIS,P1,all,325,APPENDIX-READY
NONDIS,P2,pro_se,43,APPENDIX-READY
NONDIS,P2,represented,25,APPENDIX-READY
NONDIS,P2,all,68,APPENDIX-READY
NONDIS,P3,pro_se,160,APPENDIX-READY
NONDIS,P3,represented,59,APPENDIX-READY
NONDIS,P3,all,219,APPENDIX-READY
FAM,P1,pro_se,4,APPENDIX-READY
FAM,P1,represented,13,APPENDIX-READY
FAM,P1,all,17,APPENDIX-READY
FAM,P2,pro_se,1,APPENDIX-READY
FAM,P2,represented,1,APPENDIX-READY
FAM,P2,all,2,APPENDIX-READY
FAM,P3,pro_se,5,APPENDIX-READY
FAM,P3,represented,2,APPENDIX-READY
FAM,P3,all,7,APPENDIX-READY
RD-PURE,P1,pro_se,76,APPENDIX-READY
RD-PURE,P1,represented,94,APPENDIX-READY
RD-PURE,P1,all,170,APPENDIX-READY
RD-PURE,P2,pro_se,17,APPENDIX-READY
RD-PURE,P2,represented,16,APPENDIX-READY
RD-PURE,P2,all,33,APPENDIX-READY
RD-PURE,P3,pro_se,103,APPENDIX-READY
RD-PURE,P3,represented,38,APPENDIX-READY
RD-PURE,P3,all,141,APPENDIX-READY
DT-PURE,P1,pro_se,60,APPENDIX-READY
DT-PURE,P1,represented,18,APPENDIX-READY
DT-PURE,P1,all,78,APPENDIX-READY
DT-PURE,P2,pro_se,18,APPENDIX-READY
DT-PURE,P2,represented,5,APPENDIX-READY
DT-PURE,P2,all,23,APPENDIX-READY
DT-PURE,P3,pro_se,39,APPENDIX-READY
DT-PURE,P3,represented,14,APPENDIX-READY
DT-PURE,P3,all,53,APPENDIX-READY
MIXED,P1,pro_se,54,APPENDIX-READY
MIXED,P1,represented,53,APPENDIX-READY
MIXED,P1,all,107,APPENDIX-READY
MIXED,P2,pro_se,19,APPENDIX-READY
MIXED,P2,represented,17,APPENDIX-READY
MIXED,P2,all,36,APPENDIX-READY
MIXED,P3,pro_se,73,APPENDIX-READY
MIXED,P3,represented,26,APPENDIX-READY
MIXED,P3,all,99,APPENDIX-READY
