cohort,period,n_decided,strict_win_rate,strict_win_ci_low,strict_win_ci_high,broad_win_rate,broad_win_ci_low,broad_win_ci_high,represented_strict_win,represented_strict_win_ci_low,represented_strict_win_ci_high,pro_se_strict_win,pro_se_strict_win_ci_low,pro_se_strict_win_ci_high,pro_se_share,pro_se_share_ci_low,pro_se_share_ci_high,institutional_plaintiff_share,institutional_plaintiff_share_ci_low,institutional_plaintiff_share_ci_high,mtd_n_decided,mtd_broad_survival_rate,mtd_broad_survival_ci_low,mtd_broad_survival_ci_high,p2_descriptive_only,claim_gate
DIS,P1,383,0.21148825065274152,0.17232375979112272,0.25326370757180156,0.35509138381201044,0.30548302872062666,0.402088772845953,0.3522727272727273,0.2840909090909091,0.42613636363636365,0.09178743961352658,0.05314009661835749,0.13043478260869565,0.5404699738903395,0.4908616187989556,0.587467362924282,0.19321148825065274,0.15404699738903394,0.2349869451697128,217,0.3225806451612903,0.2626728110599078,0.3824884792626728,False,APPENDIX-READY
DIS,P2,101,0.09900990099009901,0.039603960396039604,0.15841584158415842,0.24752475247524752,0.16831683168316833,0.33663366336633666,0.2,0.09937500000000005,0.325,0.03278688524590164,0.0,0.08196721311475409,0.6039603960396039,0.5148514851485149,0.7029702970297029,0.16831683168316833,0.09900990099009901,0.24752475247524752,64,0.203125,0.109375,0.3125,False,APPENDIX-READY
DIS,P3,314,0.1178343949044586,0.08598726114649681,0.15286624203821655,0.21337579617834396,0.16871019108280255,0.2611464968152866,0.32098765432098764,0.2222222222222222,0.41975308641975306,0.04721030042918455,0.02145922746781116,0.07725321888412018,0.7420382165605095,0.6910828025477707,0.7929936305732485,0.09554140127388536,0.06369426751592357,0.12738853503184713,197,0.15736040609137056,0.11154822335025381,0.20812182741116753,False,APPENDIX-READY
DIS_ANY_SENSITIVITY,P1,476,0.17857142857142858,0.14495798319327732,0.21428571428571427,0.3025210084033613,0.26260504201680673,0.34243697478991597,0.34210526315789475,0.2789473684210526,0.41578947368421054,0.06993006993006994,0.04195804195804196,0.0979020979020979,0.6008403361344538,0.5567226890756303,0.6449579831932774,0.16176470588235295,0.12815126050420167,0.19747899159663865,288,0.2569444444444444,0.2082465277777778,0.3090277777777778,False,APPENDIX-READY
DIS_ANY_SENSITIVITY,P2,120,0.08333333333333333,0.041666666666666664,0.13333333333333333,0.20833333333333334,0.14166666666666666,0.2833333333333333,0.19047619047619047,0.07142857142857142,0.30952380952380953,0.02564102564102564,0.0,0.0641025641025641,0.65,0.5583333333333333,0.7333333333333333,0.14166666666666666,0.08333333333333333,0.20833333333333334,73,0.1780821917808219,0.0958904109589041,0.2602739726027397,False,APPENDIX-READY
DIS_ANY_SENSITIVITY,P3,399,0.09774436090225563,0.07017543859649122,0.12781954887218044,0.18295739348370926,0.14780701754385964,0.22305764411027568,0.3181818181818182,0.2159090909090909,0.42045454545454547,0.03536977491961415,0.01607717041800643,0.05787781350482315,0.7794486215538847,0.7393483709273183,0.8195488721804511,0.08270676691729323,0.05764411027568922,0.11027568922305764,248,0.13709677419354838,0.09274193548387097,0.1814516129032258,False,APPENDIX-READY
RACE-DT,P1,138,0.08695652173913043,0.043478260869565216,0.13768115942028986,0.26811594202898553,0.1956521739130435,0.34782608695652173,0.19047619047619047,0.07142857142857142,0.30952380952380953,0.041666666666666664,0.010416666666666666,0.08333333333333333,0.6956521739130435,0.6159420289855072,0.7682971014492743,0.043478260869565216,0.014492753623188406,0.07971014492753623,95,0.22105263157894736,0.1368421052631579,0.30526315789473685,False,APPENDIX-READY
RACE-DT,P2,37,0.05405405405405406,0.0,0.13513513513513514,0.21621621621621623,0.08108108108108109,0.35135135135135137,0.1,0.0,0.3,0.037037037037037035,0.0,0.1111111111111111,0.7297297297297297,0.5945945945945946,0.8648648648648649,0.0,0.0,0.0,26,0.23076923076923078,0.07692307692307693,0.4230769230769231,True,APPENDIX-READY
RACE-DT,P3,71,0.056338028169014086,0.014084507042253521,0.11267605633802817,0.15492957746478872,0.07042253521126761,0.23943661971830985,0.15789473684210525,0.0,0.3157894736842105,0.019230769230769232,0.0,0.057692307692307696,0.7323943661971831,0.6334507042253522,0.8309859154929577,0.014084507042253521,0.0,0.04225352112676056,47,0.10638297872340426,0.02127659574468085,0.19148936170212766,False,APPENDIX-READY
RACE-ALL,P1,185,0.08648648648648649,0.04864864864864865,0.12972972972972974,0.2702702702702703,0.20540540540540542,0.33513513513513515,0.14634146341463414,0.07317073170731707,0.21951219512195122,0.038834951456310676,0.009708737864077669,0.07766990291262135,0.5567567567567567,0.4810810810810811,0.6270270270270271,0.0918918918918919,0.05405405405405406,0.13513513513513514,126,0.25396825396825395,0.18234126984126983,0.3333333333333333,False,APPENDIX-READY
