victory_id,case_name,court,docket_no,complaint_filed_date,qualifying_disposition_date,initial_prose,complaint_filer,first_counsel_entry_date,first_counsel_entry_evidence,counsel_at_qualifying_disposition,counsel_at_disposition_names,post_dismissal_entry,presuit_org_involvement,evidence_entries,unavailable_notes,coder_confidence
V-DORCHESTER,United States v. The Dorchester Owners Association,E.D. Pa.,20-1396,2020-03-12,2023-01-25,FILED_BY_COUNSEL,GOVERNMENT (DOJ; ECF 1 COMPLAINT filed by THE UNITED STATES OF AMERICA),2020-03-12 FROM_FILING,"ECF 1 (2020-03-12) filed by the United States; first e-signed DOJ docket item ECF 4 (2020-05-11, Mazen M. Basrawi) per notes.md counsel-entry section",YES,"DOJ Civil Rights Division attorneys of record per attorneys API: Mazen M. Basrawi, Noah Sacks, Samantha Ondrade, Yenisey Rodriguez, Elizabeth L. Coyne, James V. Fletcher, Jennifer E. Robins, Timothy J. Moran",NA,"Federal administrative agency complaint preceded suit: doc299_posttrial_memorandum.pdf p.1 (""This dispute started ... as a complaint to a federal administrative agency""); DOJ then sued under 42 U.S.C. 3614(a) pattern-or-practice",ECF 1; ECF 4; ECF 299 (doc299_posttrial_memorandum.pdf p.1); ECF 300; counsel.json/attorneys API per notes.md,"Complaint PDF not archived; identity of the administrative agency (HUD) not stated on the archived page cited, described only as ""a federal administrative agency""",HIGH
V-FHJC-PELICAN,"Fair Housing Justice Center, Inc. v. Pelican Management, Inc.",S.D.N.Y.,18-cv-1564 (ER) (OTW),2018-02-21,2023-09-29,FILED_BY_COUNSEL,"Diane Lee Houk (ECF 1 filer tag ""(Houk, Diane)"") for plaintiffs FHJC and Alfred Spooner",2018-02-21 FROM_FILING,"ECF 1 (2018-02-21) filer tag (Houk, Diane); ECF 7 same day: NOTICE OF APPEARANCE by David Benjamin Berman for FHJC and Spooner",YES,"David Benjamin Berman (post-trial filings ECF 169/170/171, 2022-12-15) and Diane Houk (ECF 175, 2023-10-05, six days after disposition); Sonya Levitova and Michele Yankson also of record per attorneys API (date_action null)",NA,"Fair-housing org as plaintiff and investigator: FHJC tester investigation described in doc172_bench_trial_opinion_and_order.pdf witness list (Shaye Belcon, FHJC investigative coordinator; testers Kate Haggerty and Lisa Darden who posed as potential renters)",ECF 1; ECF 7; ECF 169-171; ECF 172 (doc172 pdf); ECF 175,counsel.json attorney name fields returned null in the archived flattening; attorney names taken from docket-entry filer tags and notes.md attorneys-API summary,HIGH
V-GILEAD,"Gilead Community Services, Inc. v. Town of Cromwell",D. Conn.,3:17-cv-00627 (VAB),2017-04-17,2022-05-27,FILED_BY_COUNSEL,"Greg J. Kirschner (ECF 1 filer tag ""(Kirschner, Greg)""; Connecticut Fair Housing Center) for all three plaintiffs (Gilead, CT Fair Housing Center, Rainbow Housing Corp.)",2017-04-17 FROM_FILING,"ECF 1 (2017-04-17) filer tag (Kirschner, Greg); NOAs Yiyang Wu ECF 14 (2017-04-21), Michael Allen ECF 15 (2017-04-24), Tara K. Ramchandani ECF 37 (2017-08-28)",YES,"Yiyang Wu (filed ECF 255 nominal-damages motion 2021-12-02, granted in the ECF 281 disposition order), Michael Allen, Tara K. Ramchandani, Greg J. Kirschner of record; Andrea Lowe had withdrawn 2021-10-28 (ECF 245)",NA,"Fair-housing org as co-plaintiff: Connecticut Fair Housing Center, Inc. is a named plaintiff on ECF 1 and on the jury verdict (ECF 239, doc239_jury_verdict.pdf); its counsel (Kirschner) filed the complaint",ECF 1; ECF 14; ECF 15; ECF 37; ECF 239; ECF 245; ECF 255; ECF 281 (doc281 pdf),"Complaint PDF not archived, so any pre-suit investigation detail beyond the org's plaintiff status is not in the archived record",HIGH
V-GROSSMAN,"Lorin Grossman v. B&J Services of Miami, LLC, et al.",S.D. Fla.,1:25-cv-20455-KMM,2025-01-30,2026-02-09,FILED_BY_COUNSEL,"Nolan Klein, Law Offices of Nolan Klein (ECF 1 filer tag ""(Klein, Nolan)""; signature block doc1_complaint.pdf p.16)",2025-01-30 FROM_FILING,"ECF 1 (2025-01-30) filer tag (Klein, Nolan) and /s/ Nolan Klein signature block, doc1_complaint.pdf p.16; counsel.json/counsel_attorneys.json list Nolan Keith Klein as lead attorney (date_action null)",YES,"Nolan Keith Klein (ECF 24 default-judgment motion 2025-04-28 and ECF 29 fees motion 2026-02-11, both filer tag (Klein, Nolan), bracketing the 2026-02-09 disposition)",NA,"State agency complaint before suit: plaintiff filed with the Florida Commission on Human Relations, which after full investigation made a reasonable-cause determination; plaintiff elected a private action (doc1_complaint.pdf paras. 4-5, pp. 1-2)",ECF 1 (doc1_complaint.pdf pp. 1-2 and 16); ECF 24; ECF 29; counsel.json; counsel_attorneys.json,CSV representation_coding notes the database pro_se=True was corrected; docket confirms counseled from filing (no conflict with the correction),HIGH
V-HARMONY,"Harmony Home of Huntington, Inc. v. Executive Director, Indiana Department of Homeland Security",S.D. Ind.,1:24-cv-01228-TWP-MKK,2024-07-22,2026-03-10,FILED_BY_COUNSEL,"Kenneth J. Falk and Stevie J. Pactor, ACLU of Indiana (signature block doc1_complaint.pdf p.14, ""Attorneys for Plaintiff"")",2024-07-22 FROM_FILING,"ECF 1 (2024-07-22) signature block, doc1_complaint.pdf p.14; two entries labeled Notice of Appearance (ECF 2, ECF 3) docketed the same day (RECAP labels do not identify the filer)",YES,"Kenneth J. Falk and Stevie J. Pactor (ACLU of Indiana) per the ECF 1 signature block; no withdrawal or substitution entry appears before the disposition (first withdrawal activity is ECF 131, 2026-06-18, post-disposition)",NA,"ACLU of Indiana represented plaintiff from filing (doc1_complaint.pdf p.14); complaint also shows a pre-suit variance request to the Indiana Department of Homeland Security (prayer, doc1_complaint.pdf p.14); no HUD or fair-housing-org complaint appears in the archived record",ECF 1 (doc1_complaint.pdf pp. 1 and 14); ECF 2; ECF 3; ECF 116 (doc116 pdf); ECF 131,RECAP parties/attorneys tables are EMPTY for this docket and most entries carry document-type labels only; counsel-at-disposition names rest on the complaint signature block plus absence of any earlier withdrawal label,MEDIUM
V-HILL,Spring Hill v. Provident Asset Management LLC,E.D. Mich.,24-11500,2024-06-08,2025-02-07,FILED_BY_COUNSEL,"Francyne B. Stacey (ECF 1 filer tag ""(Stacey, Francyne)"")",2024-06-08 FROM_FILING,"ECF 1 (2024-06-08) COMPLAINT filed by Spring Hill, filer tag (Stacey, Francyne); RECAP party record lists Francyne B. Stacey as attorney-to-be-noticed",YES,"Francyne B. Stacey (ECF 14 default-judgment motion 2024-11-25 and ECF 20 fees motion 2025-02-05, both filer tag (Stacey, Francyne); the ECF 22 disposition order of 2025-02-07 grants the fees motion in part)",NA,UNKNOWN - the complaint (free on RECAP) was not archived locally and no archived docket text shows pre-suit org or agency involvement; the record that would show it is not archived,ECF 1; ECF 14; ECF 20; ECF 22 (doc22 pdf); counsel.json party record,"notes.md states filer tags run from ECF 3 (2024-08-01) onward, but docket_entries.json shows ECF 1 itself carries (Stacey, Francyne); conflict resolved in favor of the entry text",HIGH
V-HORIZON,"Horizon House, Inc. v. East Norriton Township",E.D. Pa.,19-1252,2019-03-25,2022-07-25,FILED_BY_COUNSEL,"UNKNOWN signer (complaint PDF not archived); plaintiff counsel of record from case opening: Guy Vilim and Noreen Amir, Law Office of Guy Vilim LLC",2019-03-25 (FROM_FILING),"ECF 1 (2019-03-25 fee-paid complaint by corporate plaintiff, which cannot proceed pro se); ECF 3 (2019-04-12 first VILIM-tagged plaintiff e-filing); ECF 9 (2019-05-23 AMIR-tagged filing); counsel.json attorneys table (Vilim/Amir, Law Office of Guy Vilim LLC)",YES,Guy Vilim; Noreen Amir (Law Office of Guy Vilim LLC),NA,"NONE_IN_RECORD beyond plaintiff itself: plaintiff is a nonprofit disability-services provider (group-home operator) suing in its own name; pre-suit record shows the Township zoning special-exception process and a state Commonwealth Court zoning appeal (Nos. 1027/1048 C.D. 2020), not a HUD/state discrimination complaint, tester, or fair-housing org","ECF 1, 3, 9 (counsel entries); ECF 103 (plaintiff SJ motion), 118 (SJ order 2022-07-25), 135/138/139 (fee petition and $185,502.05 award 2023-02-03); doc117_sj_memorandum.pdf pp. 1, 4-8 (pre-suit zoning history); notes.md counsel-entry section; counsel.json",Complaint PDF not archived so the signature block is unverified; attorneys API role date_action fields are null (dates above are docket-entry evidence),HIGH
V-HUSTON,"Tami Huston; Justin Huston v. Willamette Valley Rentals, LLC; Nick Sharifi; Roya Sharifi",D. Or.,6:24-cv-01725-AA,2024-10-11,2026-02-03,FILED_BY_COUNSEL,"UNKNOWN signer (complaint PDF free on RECAP but not archived); RECAP lists Dennis Steinman and Scott J. Aldworth, Kell Alterman & Runstein LLP, as lead counsel for both plaintiffs",2024-10-11 (FROM_FILING per counsel.json lead-counsel designations and notes.md; no dated NOA in RECAP),"ECF 1 (2024-10-11 complaint, $405 filing fee collected, jury demand); counsel.json parties/attorneys (Steinman and Aldworth, lead / attorney-to-be-noticed for Tami and Justin Huston; date_action null)",YES,"Dennis Steinman; Scott J. Aldworth (Kell, Alterman & Runstein, L.L.P.)",NA,"NONE_IN_RECORD: doc20 opinion background (pp. 2-5) recounts direct dealings only (Mrs. Huston contacted WVR about the Hoover Ave. property; accommodation requests made directly); no fair-housing org, HUD/BOLI complaint, tester, or legal-aid referral appears in the archived record","ECF 1 (filing); ECF 17 (plaintiffs' partial SJ motion 2025-08-28 with Tami Huston Decl., ECF 17-2); ECF 20 (opinion and order granting SJ 2026-02-03); doc20_opinion_order_partial_summary_judgment.pdf pp. 1-5; counsel.json; notes.md counsel-entry section",Label-only short-form docket: withdraw motion ECF 14 (2025-02-14; order 2025-03-27) does not identify the moving party or attorney; complaint PDF not archived; counsel dates rest on the undated RECAP party table,MEDIUM
V-MCCLENDON,Ashley Christina McClendon v. Peter Bresler,9th Cir.,23-55378 (D.C. No. 2:20-cv-07758-RGK-GJS),2020-08-26,2024-05-28,FILED_BY_COUNSEL,"Michelle Uzeta, Esq. (signing counsel, /s/ dated 2020-08-25); caption also lists Center for Disability Access (Potter Handy): Raymond Ballister Jr., Russell Handy, Dennis Price (doc1_complaint.pdf pp. 1, 15)",2020-08-26 (FROM_FILING),"District ECF 1 (2020-08-26, Complaint - Attorney Civil Case Opening); doc1_complaint.pdf p. 1 (attorney caption) and p. 15 (/s/ Michelle Uzeta, Attorneys for Plaintiff)",YES,Names of record at both coded dates UNKNOWN: at district post-remand judgment 2023-03-31 represented (proposed final judgment ECF 78 entered as ECF 79; plaintiff fee motion ECF 81 2023-04-13); at CA9 affirmance 2024-05-28 represented (appeal argued and submitted 2024-05-14 per doc94 p. 1; substitute-attorney filing ECF 98 2024-09-17 implies counsel of record); RECAP attorney tables empty for both dockets,NA,"NONE_IN_RECORD: complaint paras. 18-28 (pp. 4-5) allege a Zillow advertisement, direct application and email exchange with Bresler in July 2020, and denial; suit filed one month later; no HUD/state agency complaint, fair-housing org, tester, or legal-aid referral alleged; doc94 pp. 2-3 factual recital matches","doc1_complaint.pdf pp. 1, 3-5, 14-15 (visually reviewed; scanned image, no text layer); district ECF 52 (adverse partial SJ 2021-10-21 per doc79 p. 2), ECF 59 (adverse trial-phase termination 2021-12-11), ECF 62/66/68 (withdrawal entries 2021-12-20, 2022-04-15, 2022-04-21, names not stated), ECF 78/79 (final judgment 2023-03-31), ECF 81/91 (fee motions), ECF 94 (CA9 memorandum affirming 2024-05-28), ECF 98 (substitute attorney 2024-09-17); ca9_counsel.json (empty)",RECAP party/attorney tables EMPTY for both dockets; CA9 docket is a zero-entry shell; withdrawal entries around the adverse 2021 rulings are label-only so the Potter Handy vs. Uzeta sequence cannot be confirmed from the archive; notes.md does NOT mention any Potter Handy to Uzeta/DREDF transition (conflict with tasking note); USCA orders ECF 63/69/70/82/86/93/97 PACER-only,MEDIUM
V-MCCREADY,"John McCready v. Unity Sober Living Homes, LLC, RE/MAX Achievers",E.D. Pa.,24-2226,"UNKNOWN (filed in Philadelphia County Court of Common Pleas; removed 2024-05-24, ECF 1)",2025-07-16,UNKNOWN,"UNKNOWN: the original and amended state-court complaints are archived only as PACER-only attachments to the removal notice (ECF 1, Exs. A-B), so the signer is not in the archive",2024-05-28 (first plaintiff-counsel appearance on the federal docket),"ECF 3 (2024-05-28): NOTICE of Appearance by Christina Bowen on behalf of John McCready, with certificate of service",YES,"Mark W. Fidanza (lead, e.g. ECF 21, 71); Christina Bowen; Julia Lueddeke; Millisa Yensel (all Reed Smith LLP, per counsel.json attorneys table and docket filer tags)",NO,"NONE_IN_RECORD in the archived federal record: doc97 background (pp. 1-3) shows a private dispute (discharge from Valley Forge Medical Center rehab to Unity sober living, rent-policy discrimination, wrongful eviction); no HUD/PHRC complaint, fair-housing org, tester, or legal-aid referral appears; state-court complaint not archived so pre-suit allegations there are unverifiable",ECF 1 (removal 2024-05-24); ECF 3 (Bowen NOA 2024-05-28); ECF 21 (Fidanza opposition 2024-06-28); ECF 71 (plaintiff partial SJ motion with Fidanza declaration); ECF 97/98 (SJ memorandum and order 2025-07-16); doc97_sj_memorandum.pdf pp. 1-3; counsel.json; notes.md counsel-entry section,"Pre-removal (state-court) representation status not in archive; ECF 1 attachments and state record (ECF 4) PACER-only; post_dismissal_entry coded NO on the federal record (counsel appeared 4 days after removal, before any adverse ruling), not on the unarchived state record",MEDIUM
