state,state_name,record_status,current_requested_label,current_detailed_label,baseline_kelsey_2023_detailed_label,baseline_shift_detailed,selected_document_url,document_title_guess,document_year_guess,document_status_note,auto_classification_reason,manual_notes,error,scan_generated_at_utc
AK,Alaska,classified,Requires 504,Requires Section 504,Requires Section 504,no_change,https://www.ahfc.us/application/files/6517/5088/4408/FY2026_GOAL_Qualified_Allocation_Plan_06-25-25.pdf,STATE OF ALASKA ALASKA HOUSING FINANCE CORPORATION GOAL PROGRAM,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
AL,Alabama,classified,Requires 504,Requires Section 504,Incentives only,strengthened,https://ahfa.atl1.cdn.digitaloceanspaces.com/multifamily/allocation-and-application-info/ahfa-2025-qap-9-18-2024-(gov-approved).pdf,2025 HOUSING CREDIT QUALIFIED ALLOCATION PLAN Administered by,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
AR,Arkansas,classified,Incentives only,Incentives only,No direct QAP accessibility provision observed,strengthened,https://adfa.arkansas.gov/wp-content/uploads/2025/09/2026-QAP-signed-2.pdf,ARKANSAS DEVELOPMENT FINANCE AUTHORITY 2026 QUALIFIED ALLOCATION PLAN,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected accessibility as scoring incentive rather than threshold.,,,2026-04-16T14:38:05.773261+00:00
AZ,Arizona,error,None,Manual review needed,Direct requirement below Section 504,changed,,,,,Extraction failed.,,HTTPError('403 Client Error: Forbidden for url: https://housing.az.gov/2026-2027-qap-final-version-posted'),2026-04-16T14:38:05.773261+00:00
CA,California,classified,Requires 504,Requires Section 504,Exceeds Section 504,weakened,https://www.treasurer.ca.gov/ctcac/programreg/2025/regulations.pdf,CALIFORNIA TAX CREDIT ALLOCATION COMMITTEE REGULATIONS IMPLEMENTING THE FEDERAL AND STATE LOW INCOME HOUSING TAX CREDIT LAWS CALIFORNIA CODE OF REGULATIONS,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
CO,Colorado,classified,Requires 504,Requires Section 504,No direct QAP accessibility provision observed,strengthened,https://www.novoco.com/public-media/documents/colorado-lihtc-final-qap-2025-26-11212024.pdf,housing tax credit amended qualified allocation plan 2025 to 2026,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
CT,Connecticut,classified,Incentives only,Incentives only,No direct QAP accessibility provision observed,strengthened,https://www.chfa.org/assets/1/19/FINAL_2026_QAP.pdf?14379,Low-Income Housing Tax Credit 2026 Qualified Allocation Plan,2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected accessibility as scoring incentive rather than threshold.,,,2026-04-16T14:38:05.773261+00:00
DC,District of Columbia,classified,Requires 504,Requires Section 504,,no_kelsey_baseline,https://dhcd.dc.gov/sites/default/files/dc/sites/dhcd/publication/attachments/2025%20Qualified%20Allocation%20Plan%20Final%20Published%2012.9.25.pdf,2025 LOW INCOME HOUSING TAX CREDIT Qualified Allocation Plan,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
DE,Delaware,classified,Requires 504,Requires Section 504,Incentives only,strengthened,https://www.novoco.com/public-media/documents/delaware-final-qap-2025-2026-04232025.pdf,State of Delaware Low Income Housing Tax Credit Qualified Allocation Plan,2025-2026,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
FL,Florida,classified,None,No direct QAP accessibility provision observed,Requires Section 504,weakened,https://www.floridahousing.org/docs/default-source/programs/competitive/2025-rule-development-process/2025-qualified-allocation-plan-(qap-2-7-25-draft.pdf?sfvrsn=80f6f07b_1,2.7.25 draft Florida Housing Finance Corporation 2025 2024 Qualified Allocation Plan,2025,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,No direct accessibility provision detected in extracted text.,,,2026-04-16T14:38:05.773261+00:00
GA,Georgia,classified,Requires 504,Requires Section 504,Requires Section 504,no_change,https://dca.georgia.gov/document/document/2026-2027-qap-draft-3pdf/download,STATE OF GEORGIA 2026-2027 QUALIFIED ALLOCATION PLAN,2026-2027,Current public 2025-2026-era document used; some states publish 2026 drafts or 2025-2026 combined plans rather than a single final 2026 QAP.,Detected Section 504/UFAS-style 5% and 2% accessibility language.,,,2026-04-16T14:38:05.773261+00:00
