sol1_ordinal,source_file,key_code,sol1_code,third_code,third_observability,third_text_status,adjudication,disagreement_type
4,034 - Collins v TEAM MANAGEMENT LLC,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,BORDERLINE,OK,SOL1_CORROBORATED,CODE_VS_CODE
9,10113641_2024_Seals v. Itex Group_ca5,OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
10,10166678_2024_Southwest Fair Housing Council v. WG Scottsdale LLC_azd,SPECIFIC_DUTY,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
16,10179261_2024_Access Living of Metropolitan Chicago v. City Of Chicago_ilnd,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
18,10180794_2024_Edwards v. Klinedinst_ksd,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
20,10183158_2024_Cooper v. Parham-Greene_mdd,OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
25,"10189170_2023_431 E PALISADE AVENUE REAL ESTATE, LLC v. CITY OF ENGLEWOOD_njd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
28,"10193115_2024_Mills Pond Group LLC v. Town of Smithtown, New York_nyed",OPEN_TEXTURED,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
29,"10193270_2024_Chestnut Hill NY, Inc. v. City of Kingston_nynd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
31,"10193953_2024_Avila v. ACACIA Network, Inc._nysd",OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
33,10199579_2024_Blackburn v. Webb_okwd,MIXED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
34,10200456_2024_PARKER v. LEE_paed,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
36,"10202876_2024_Murphy v. Brixworth Homeowners Association, Inc._tned",OPEN_TEXTURED,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
39,10205156_2024_Bowman v. SWBC Real Estate Services LLC_txnd,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
41,"10215742_2023_Lopez Carpintero v. Del Valle 969 Apartments, LTD_txwd",OPEN_TEXTURED,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
47,10227522_2024_Lattimore v. Brahmbhatt_vawd,OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
48,10230879_2021_State of Washington v. City of Sunnyside_waed,OPEN_TEXTURED,SPECIFIC_DUTY,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,CODE_VS_CODE
54,"10264452_2023_The City of Huntington v. The Lifehouse, Inc.et al_wvsd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
59,10299118_2024_Ryall v. Normandy Village Apts. Inc._lamd,OPEN_TEXTURED,UNCLEAR,SPECIFIC_DUTY,CLEAR,OK,NEITHER,SOL1_UNCLEAR
61,"10302454_2024_Avila v. ACACIA Network, Inc._nysd",OPEN_TEXTURED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
64,10311847_2025_Fair Hous. Ctr. of Metro. Detroit v. Am. House Grosse Pointe_ca6,OPEN_TEXTURED,UNCLEAR,UNCLEAR,NOT_OBSERVABLE,OK,THIRD_UNCLEAR,SOL1_UNCLEAR
67,"10323723_2025_Concern for Independent Living, Inc. v. Town of Southampton, New York_nyed",MIXED,OPEN_TEXTURED,SPECIFIC_DUTY,BORDERLINE,OK,NEITHER,CODE_VS_CODE
80,10373979_2025_Housing Opportunities Made Equal of Greater Cincinnati v. Count X LLC_ohsd,MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
83,"10381039_2025_United African-Asian Abilities Club v. ASP Mohawk, LLC_casd",MIXED,SPECIFIC_DUTY,SPECIFIC_DUTY,CLEAR,OK,SOL1_CORROBORATED,CODE_VS_CODE
