arm,period,inst_n,n,share,definition,claim_gate
DIS,P1,74,383,0.193211,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DIS,P2,17,101,0.168317,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DIS,P3,30,314,0.095541,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RD-PURE,P1,32,170,0.188235,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RD-PURE,P2,4,33,0.121212,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RD-PURE,P3,11,141,0.078014,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DT-PURE,P1,9,78,0.115385,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DT-PURE,P2,2,23,0.086957,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DT-PURE,P3,2,53,0.037736,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RACE-DT,P1,6,138,0.043478,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RACE-DT,P2,0,37,0.0,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RACE-DT,P3,1,71,0.014085,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
