cohort,period,institutional_n,denominator,share,ci_low,ci_high,definition,claim_gate
DIS,P1,74,383,0.193211,0.156658,0.234987,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DIS,P2,17,101,0.168317,0.099010,0.237624,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DIS,P3,30,314,0.095541,0.063694,0.130573,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RD-PURE,P1,32,170,0.188235,0.129412,0.247059,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RD-PURE,P2,4,33,0.121212,0.030303,0.242424,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RD-PURE,P3,11,141,0.078014,0.042553,0.127660,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DT-PURE,P1,9,78,0.115385,0.051282,0.192308,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DT-PURE,P2,2,23,0.086957,0.000000,0.217391,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DT-PURE,P3,2,53,0.037736,0.000000,0.094340,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RACE-DT,P1,6,138,0.043478,0.014493,0.079710,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RACE-DT,P2,0,37,0.000000,0.000000,0.000000,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
RACE-DT,P3,1,71,0.014085,0.000000,0.042254,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DIS_ANY,P1,77,476,0.161765,0.130252,0.195378,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DIS_ANY,P2,17,120,0.141667,0.083333,0.208333,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
DIS_ANY,P3,33,399,0.082707,0.055138,0.110276,"plaintiff_type in {FAIR_HOUSING_ORG, GOVERNMENT, GROUP_HOME_OPERATOR}; decided cells",APPENDIX-READY
