normalized_org_name,cases_P1,cases_P2,cases_P3,first_decision_date,last_decision_date,churn_status,ambiguous_normalization,plaintiff_types,raw_names,sample_cases,claim_gate
431 E PALISADE AVENUE REAL ESTATE,2,0,0,2023-09-19,2023-09-19,P1_EXIT,N,GROUP_HOME_OPERATOR,"431 E Palisade Avenue Real Estate, LLC","431 E Palisade Avenue Real Estate, LLC v. City of Englewood | 431 E Palisade Avenue Real Estate, LLC v. City of Englewood",APPENDIX-READY
ACCESS LIVING OF METROPOLITAN CHICAGO,0,1,0,2024-09-30,2024-09-30,P2_ONLY,N,FAIR_HOUSING_ORG,"Access Living of Metropolitan Chicago, Inc.","Access Living of Metropolitan Chicago, Inc. v. City of Chicago",APPENDIX-READY
AFFINITY RECOVERY CENTER,1,0,1,2024-01-12,2025-06-20,CONTINUING,N,GROUP_HOME_OPERATOR,Affinity Recovery Center LLC,Affinity Recovery Center LLC v. Town Commissioners of Sudlersville | Affinity Recovery Center LLC v. Town Commissioners of Sudlersville,APPENDIX-READY
ALLENTOWN VICTORY CHURCH,1,1,0,2022-09-01,2024-07-17,P1_EXIT,N,GROUP_HOME_OPERATOR,Allentown Victory Church,"Allentown Victory Church v. City of Allentown | Allentown Victory Church v. City of Allentown, Pennsylvania",APPENDIX-READY
BAPTIST HOMES,0,1,1,2024-10-02,2026-05-11,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Baptist Homes, Inc.","Baptist Homes, Inc. v. City of Madison, Mississippi | Baptist Homes, Inc. v. City of Madison, Mississippi",APPENDIX-READY
BE THE BUSH RECOVERY MINISTRIES,0,0,1,2025-10-02,2025-10-02,P3_ENTRY,N,GROUP_HOME_OPERATOR,Be the Bush Recovery Ministries,"Be the Bush Recovery Ministries v. Coffee County, Tennessee",APPENDIX-READY
BELIEVE TGH LLC ET AL,1,1,0,2023-12-19,2024-09-18,P1_EXIT,N,GROUP_HOME_OPERATOR,"Believe TGH, LLC, et al.","Believe TGH, LLC, et al. v. Pointe Coupee Parish | Believe TGH, LLC, et al. v. Pointe Coupee Parish, Louisiana",APPENDIX-READY
BIRCH FAMILY SERVICES,1,0,0,2022-05-10,2022-05-10,P1_EXIT,N,GROUP_HOME_OPERATOR,"Birch Family Services, Inc.","Birch Family Services, Inc. v. Wlody",APPENDIX-READY
BOARD OF COUNTY COMMISSIONERS OF JOHNSON COUNTY,1,0,0,2024-03-08,2024-03-08,P1_EXIT,N,GOVERNMENT,BOARD OF COUNTY COMMISSIONERS OF JOHNSON COUNTY,BOARD OF COUNTY COMMISSIONERS OF JOHNSON COUNTY v. Jorgensen,APPENDIX-READY
CALDERIA LLC ET AL,0,0,1,2025-02-18,2025-02-18,P3_ENTRY,N,GROUP_HOME_OPERATOR,"Calderia, LLC, et al.","Calderia, LLC, et al. v. City of Claremont, NH",APPENDIX-READY
