cohort,half,n,strict_win_n,strict_win_share,strict_ci_low,strict_ci_high,pro_se_n,pro_se_share,pro_se_ci_low,pro_se_ci_high,claim_gate
RD-PURE,P1a,84,33,0.392857,0.297619,0.500000,41,0.488095,0.380952,0.583333,APPENDIX-READY
RD-PURE,P1b,86,16,0.186047,0.104651,0.279070,35,0.406977,0.302326,0.511628,APPENDIX-READY
DT-PURE,P1a,32,3,0.093750,0.000000,0.218750,23,0.718750,0.562500,0.875000,APPENDIX-READY
DT-PURE,P1b,46,5,0.108696,0.021739,0.195652,37,0.804348,0.673913,0.913043,APPENDIX-READY
MIXED,P1a,43,10,0.232558,0.116279,0.372093,18,0.418605,0.279070,0.558140,APPENDIX-READY
MIXED,P1b,64,10,0.156250,0.062500,0.250000,36,0.562500,0.437500,0.687500,APPENDIX-READY
DIS,P1a,172,49,0.284884,0.220930,0.354651,91,0.529070,0.447674,0.604651,APPENDIX-READY
DIS,P1b,211,32,0.151659,0.104265,0.203791,116,0.549763,0.483412,0.616114,APPENDIX-READY
RACE-DT,P1a,66,4,0.060606,0.015152,0.121212,41,0.621212,0.500000,0.727273,APPENDIX-READY
RACE-DT,P1b,72,8,0.111111,0.041667,0.194444,55,0.763889,0.666667,0.861111,APPENDIX-READY
