cohort,dimension,category,period,numerator,denominator,share,ci_low,ci_high,registered_status,claim_gate,note
DIS,bucket_mix,DT-PURE,P1,18,176,0.102273,0.062500,0.147727,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,MIXED,P1,53,176,0.301136,0.238636,0.369318,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,OTHER,P1,11,176,0.062500,0.028409,0.102273,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,RD-PURE,P1,94,176,0.534091,0.460227,0.607955,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,DT-PURE,P2,5,40,0.125000,0.025000,0.225000,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,MIXED,P2,17,40,0.425000,0.275000,0.575000,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,OTHER,P2,2,40,0.050000,0.000000,0.125000,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,RD-PURE,P2,16,40,0.400000,0.250000,0.550000,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,DT-PURE,P3,14,81,0.172840,0.098765,0.259259,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,MIXED,P3,26,81,0.320988,0.222222,0.419753,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,OTHER,P3,3,81,0.037037,0.000000,0.086420,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,bucket_mix,RD-PURE,P3,38,81,0.469136,0.358025,0.580247,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,institutional_share,institutional,P1,73,176,0.414773,0.340909,0.482955,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,institutional_share,noninstitutional,P1,103,176,0.585227,0.511364,0.659091,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,institutional_share,institutional,P2,17,40,0.425000,0.275000,0.575000,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,institutional_share,noninstitutional,P2,23,40,0.575000,0.425000,0.725000,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,institutional_share,institutional,P3,30,81,0.370370,0.271605,0.469136,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,institutional_share,noninstitutional,P3,51,81,0.629630,0.518519,0.728395,disclosed,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,10th Circuit,P1,8,176,0.045455,0.017045,0.079545,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,11th Circuit,P1,17,176,0.096591,0.056818,0.142045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,1st Circuit,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,2nd Circuit,P1,15,176,0.085227,0.045455,0.125000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,3rd Circuit,P1,26,176,0.147727,0.096591,0.198864,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,4th Circuit,P1,8,176,0.045455,0.017045,0.079545,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,5th Circuit,P1,20,176,0.113636,0.073864,0.164773,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,6th Circuit,P1,19,176,0.107955,0.062500,0.159091,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,7th Circuit,P1,15,176,0.085227,0.045455,0.130682,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,8th Circuit,P1,1,176,0.005682,0.000000,0.017045,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,9th Circuit,P1,37,176,0.210227,0.147727,0.272727,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,D.C. Circuit,P1,2,176,0.011364,0.000000,0.028409,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,court_circuit_mix,MISSING,P1,7,176,0.039773,0.017045,0.068182,registered,APPENDIX-READY,featured represented decided disability cohort
